,city,job_title,company_name,location,summary,salary,og_salary_period
160,philadelphia,lead data scientist,comcast,philadelphia  pa,5  years working within an enterprise data warehouse environment or big data architecture  lead large scale projects that utilize online   offline data    ,,
161,philadelphia,junior statistician,c3i  inc ,upper gwynedd  pa,identify data sources and gather data  ability to design data collection plans  this junior statistician will be part of an investment analytics decision   ,,
162,philadelphia,data scientist,amerihealth caritas,philadelphia  pa,defines problems  collects data  applies advanced economic and mathematical concepts  establishes facts and draws valid conclusions    ,,
163,philadelphia,safety data associate   ubc,express scripts,blue bell  pa,interact with the safety data managers safety scientists  performs data entry functions and other data functions for the safety department    ,,
164,philadelphia,safety data associate,express scripts,blue bell  pa,performs data entry functions and other data functions for the safety department  support the safety managers safety scientists    ,,
165,philadelphia,statistician,quintilesims,plymouth meeting  pa,role purpose: under guidance  provides support in applying statistical methodologies to assigned research projects  principal accountabilities: provides,,
166,philadelphia,data science and machine learning for drug discovery,gsk,collegeville  pa,specifically  we are seeking a computational  modelling or informatics scientist with knowledge of active learning  multi parameter optimization    ,,
167,philadelphia,analyst 1  advertising research,comcast,west conshohocken  pa,and or syndicated data  scarborough  experian  polk  kantar  etc    identifies complex issues  conflicting data  client objections  industry trends  etc      ,,
168,philadelphia,statistical programmer,quintilesims,plymouth meeting  pa,extensive knowledge and experience in prescription data  emr data  managed care data  plan   payer data   medical claim data  patient longitudinal data    ,,
169,philadelphia,neurology sleep lab tech,convergys,philadelphia  pa,basic computer competence using windows and data entry skills  our research analysts are trained social scientists with post graduate degrees  extensive   ,,
170,philadelphia,analytical scientist – pas,eurofins,malvern  pa,peer review of analytical data  scientist responsibilities include  but are not limited to  the following :    ,,
171,philadelphia,principal  data scientist   digital,comcast,philadelphia  pa,as member of the data science team  you will leverage internal and external data to develop and deploy predictive models which enable the organization to make   ,,
172,atlanta,statistician,ihrc  inc ,atlanta  ga,experience working within public health data sets and data environments  develop documentation for releasing data to the general public that includes background   ,,
173,atlanta,data scientist  experience insights ,home depot,atlanta  ga,strong communication and data presentation skills  the data scientist will develop the analytical infrastructure and computational capabilities that drive   ,,
174,atlanta,market research analyst,cox media group,atlanta  ga,data extraction and manipulation  run data queries in access  create and proof cross tabulation data tables in a timely manner    ,,
175,atlanta,ultimate hoops statistician,life time fitness,atlanta  ga,experience tracking statistical data for basketball games  life time is currently seeking a qualified ultimate hoops statistician    ,,
176,atlanta,sr  statistical quantitative analyst,suntrust,atlanta  ga,sr  statistical quantitative analyst w437805 description this model development analyst is responsible for development and analysis of quantitative models,,
177,atlanta,data management and analysis fellowship   cdc,oak ridge associated universities,atlanta  ga,this fellowship will focus on conducting data analysis  project management of data processes and assisting with dissemination of nhbs data    ,,
178,atlanta,junior data scientist  internship ,stanley black   decker,atlanta  ga,as a junior data scientist at stanley black   decker  you will work with the data scientist team to learn how to analyze data through cleaning  visualizing and   ,,
179,atlanta,principal data architect   cloud architecture team,turner,atlanta  ga,strong understanding of algorithms  big data framework  and data structures  5  years of data engineering  data science or software engineering experience    ,,
