,city,job_title,company_name,location,summary,salary,og_salary_period
0,new york,data scientist   big data   analytics,kpmg,new york  ny,kpmg is currently seeking a data scientist   big data   analytics  to join our advanced data   analytics organization    ,,
1,new york,senior data scientist,verizon,new york  ny,familiarity and experience with creating analytical data sets  in depth experience with exploratory big data discovery through the use of technologies such as   ,,
2,new york,applied machine learning scientist engineer   relevance   discoverability team,bloomberg,new york  ny,information and data move the financial markets  this data would be unmanageable without our help  bloomberg ingests more than 70 000 different news feeds    ,,
3,new york,junior data scientist,aig,new york  ny,we are looking for top notch strategic data scientists to join our team and be the creative force for the next wave of dramatic performance improvement and   ,,
5,new york,machine learning,twitter,new york  ny,cortex is a team of software engineers  data scientists  and research scientists dedicated to developing state of the art machine learning capabilities to   ,,
6,new york,applied research scientist  machine learning   nlp,spreemo,new york  ny,experience implementing data pipelines for etl  data cleaning  and data integration  about the role as an applied research scientist at spreemo  you will work   ,,
8,new york,quantitative analyst,ubs,new york  ny,does complex modeling excite you  are you an innovative thinker  we’re looking for someone like that who can: – build new mathematical and software models for,,
9,new york,sr data scientist,aetna,new york  ny,we are currently looking for an exceptional senior data scientist to join us in developing products to improve effectiveness of our pharmacy business    ,,
10,new york,data science adviser,propublica,new york  ny,propublica is seeking an experienced statistician or data scientist to advise us on our complex data journalism projects    ,,
11,new york,manager  data science  programmatic ,groupm,new york  ny,data and data analytics savvy  at least 3 5 years’ hands on  proven experience in a digital analyst or data scientist role    ,,
13,new york,senior data scientist manager,aetna,new york  ny,we are currently looking for an exceptional senior data scientist manager to play a pivotal role in the creation and deployment of information products    ,,
14,new york,principal data scientist,aetna,new york  ny,we are currently seeking a principal data scientist in our hartford  ct  aetna continues to build a world class data science organization to capture data    ,,
15,new york,simulation and modeling consultant,simul8 corporation,new york  ny,working with data scientists to stream information into simulation models and assist in visualizing data to derive useful insights and conclusions    ,,
16,new york,data analysis assistant,united nations,new york  ny,provides basic statistical analysis of the data  including data cleaning  ensures accuracy  clarity and validity  makes appropriate adjustments    ,,
17,new york,data scientists,fxcompared,new york  ny,we are looking for full time data scientists to be responsible for analysis and presentation of our data  normalizing various forms of data    ,,
18,new york,data manager,td ameritrade,jersey city  nj,develop custom data sets to support data scientists and advanced analytics using advanced tools  methods and data platforms    ,,
19,new york,data science analyst,aig,new york  ny,we are looking for talented  curious  and creative data scientists to join our growing team  data science is fundamentally changing the way we do business    ,,
20,new york,data acquisition strategy leader,bloomberg,new york  ny,previous collaboration with data scientists  bloomberg runs on data  in our global data business  we're responsible for supplying it – our content acquisition   ,,
21,new york,data engineer   core data,jw player,new york  ny,work with data scientists to process video data in ways that are meaningful for our publishers  the core data team is highly democratic    ,,
23,new york,senior analyst  quantitative customer insights,hellofresh,new york  ny,manipulate  transform  join  and clean data sets  experience performance advanced data management   statistical techniques using r  python  java  etc  preferred   ,,
25,chicago,data scientist intern,emerge media,chicago  il,we are looking for a data scientist to help secure our competitive advantage within the translation tech industry    ,,
26,chicago,statistical analyst,ttx company,chicago  il,experience with data management and data integration  i e  joining multiple tables from different sources    ,,
27,chicago,data scientist   sales analytics,invesco,downers grove  il,experience linking multiple data platforms  social media  open  etc  and with data visualization tools  e g   tableau     ,,
28,chicago,consumer research   data analyst,mintel,chicago  il,gathering market data through secondary research such as industry or government data  eg census data   analyzing quantitative data:    ,,
30,chicago,sr  data scientist,precima,chicago  il,data scientist will provide process execution leadership to support client projects  alliance data participates in e verify    ,,
31,chicago,statistical analyst,northwestern university,chicago  il,this includes database administration  data consolidation  data analysis and management reporting  critical thinking  business intelligence application design    ,,
32,chicago,data engineer,uptake,chicago  il,as a data engineer on the data science team  you’ll work with uptake’s data scientists to design and build uptake’s data infrastructure within data science    ,,
33,chicago,associate data scientist,ray allen,chicago  il,gathering requirements  data cleanup  forming etl processes  creating mockups  analyzing data  formulating kpis  and crafting new reports and dashboards    ,,
34,chicago,statistical process control analyst,osi group,chicago  il,position summary the process control analyst is responsible for improving and controlling the entire production process through research  development and,,
35,chicago,data research statistician,advito,chicago  il,look to qualitative data available to find explanations for unusual data patterns  data analysis •conduct data analysis and create reports  outlining findings    ,,
36,chicago,analyst 1  advertising research,comcast,chicago  il,and or syndicated data  scarborough  experian  polk  kantar  etc    identifies complex issues  conflicting data  client objections  industry trends  etc      ,,
37,chicago,research data analyst,northwestern university,chicago  il,completes data cleaning and organizes data files for analysis  extracts required data  designs and writes programs for data entry  data editing  data management   ,,
38,chicago,financial data engineer,charles schwab,chicago  il,the financial data engineer position combines the skills of a financial analyst and data scientist  strong familiarity with financial market data is required    ,,
39,chicago,data scientist,emerge media,chicago  il,we are looking for a data scientist to help secure our competitive advantage within the translation tech industry    ,,
40,chicago,watson health   data miner   truven,ibm,chicago  il,however  their work includes the entire process of data analysis  including the data cleansing  data preparation and visualization of results    ,,
41,chicago,scientist associate,exponent,chicago  il,providing case management  data processing  and other project support  conducting research to obtain and review technical data  scientific literature  and   ,,
42,chicago,statistician  master's level ,ann   robert h  lurie children’s hospital of chica   ,chicago  il,writes programs and scripts that convert customer requirements into data extracts  making use of epic clarity  epic cogito data warehouse  crystal reports  sql    ,,
44,chicago,data insights analyst  success journeys,salesforce,chicago  il,document requirements and translate business problems into questions that can be understood by data engineers and data scientists    ,,
46,chicago,sr dir  data sciences,conversant media,chicago  il,sr dir  data sciences  alliance data participates in e verify  epsilon is an alliance data company  conversant’s enormous data set  applying predictive   ,,
47,chicago,solution manager   city voices  mckinsey solutions,mckinsey   company,chicago  il,as one of the fastest growing parts of our firm  new ventures has more than 1 000 dedicated professionals  including more than 800 analysts and data scientists    ,,
48,chicago,sr dir  data sciences,epsilon,chicago  il,sr dir  data sciences  alliance data participates in e verify  epsilon is an alliance data company  conversant’s enormous data set  applying predictive   ,,
49,chicago,statistician,rush university medical center,chicago  il,examine data to track down potential data inconsistencies  write and run programs in sas and s plus to carry out statistical analyses of biomedical data   ,,
50,san francisco,data scientist  senior,progress,redwood city  ca,good experience with data preparation and data quality  knowledge of data visualization is a plus  work with the customer’s data science teams  train and   ,,
51,san francisco,data scientist   machine learning,sap,palo alto  ca,implement most recent algorithms and approaches for machine learning in collaboration with our data scientists and researchers    ,,
53,san francisco,machine learning,twitter,san francisco  ca,experience using big data platforms such as spark or hadoop  what you’ll do:    ,,
54,san francisco,quantitative analyst,whitemore james black,san francisco  ca,strong excel skills  including the ability to manipulate data  create macros  and develop tables is also required    ,,
55,san francisco,data science intern,lendup,san francisco  ca,work with and learn from a team of world class data scientists with degrees from harvard  stanford  tulane  carnegie mellon  and university of pennsylvania    ,,
56,san francisco,junior data scientist,radius,san francisco  ca,develop new methodologies for data validation  fluency extracting insights from sizable data sets  2  years experience using python for analyzing or processing   ,,
57,san francisco,research data analyst,university of california san francisco,san francisco  ca,the research data analyst works on research data reporting assignments that are of moderate diversity in scope    ,,
58,san francisco,sr data scientist,general electric,san francisco  ca,work with data engineers on data quality assessment  data cleansing and data analytics  as a sr data scientist  you will be part of a data science or cross   ,,
59,san francisco,data engineer,ultimate software,san francisco  ca,you want to collaborate with data scientists  ui ux designers  and product managers  our data infrastructure already supports 33 million highly dimensional   ,,
60,san francisco,junior data scientist  marketing,mckinsey   company,san francisco  ca,experience linking multiple data platforms  social media  open  etc  and with data visualization tools  e g   tableau     ,,
61,san francisco,data science co op  san francisco ,ancestry,san francisco  ca,drive the collection of new data and the refinement of existing data sources  work closely with a product engineering team and data scientists to identify and   ,,
62,san francisco,data analyst  growth,square,san francisco  ca,modeling the data layer used by data scientists  analysts  business users  creating curated data sets for ease of reporting    ,,
63,san francisco,data scientist,intuit,mountain view  ca,working closely with subject matter experts  smes  to develop workforce data vision and strategy  data architecture  data governance  data exploitation  and   ,,
64,san francisco,statistical programmer  modeling and simulation analyst   clinical pharmacology,genentech,south san francisco  ca,experience in generating analysis datasets  data pooling and graphical representation of clinical trial data    ,,
65,san francisco,analyst   data management,futureadvisor,san francisco  ca,data architect  data center  data integration  data integrity  data manager  data scientist  data warehouse  etl  erp  mongo database administrator    ,,
66,san francisco,manager  data science,nuna,san francisco  ca,manage teams of data scientists and analysts to achieve data science goals  nuna data science  3 years of experience recruiting and leading data scientists and   ,,
67,san francisco,sr  consultant   sr  data scientist,capgemini,south san francisco  ca, includes data modeler  data miner    you are responsible for data related activities such as data extraction  profiling  cleansing  de duplication    ,,
68,san francisco,sr  data scientist,vungle,san francisco  ca,data science at vungle:  researching and developing new future data product  if you’re a hardcore data scientist with a love for machine learning and the   ,,
69,san francisco,machine learning data engineer,capital one,san francisco  ca,machine learning data engineer  at capital one  we have seas of big data and rivers of fast data  as machine learning engineer on the data intelligence team    ,,
71,san francisco,quantitative user researcher,twitter,san francisco  ca,collaborate closely with qualitative researchers and data scientists  experience working with large scale data sets  logs analysis  surveys  experimental design   ,,
72,san francisco,watson machine learning engineer  software engineer ,ibm,san francisco  ca,the convergence of data and technology is transforming industries  society and even the workplace  the focus is to study and design novel approaches for   ,,
73,san francisco,scientist,exponent,menlo park  ca,exponent's statistical   data sciences practice is currently seeking scientists for our menlo park  ca office    ,,
74,san francisco,data analyst,raag solutions  llc,san francisco  ca,the person needs to be able to pull data from org62  join it with data from the warehouse  analyze it  interview business partners to collect requirements    ,,
75,austin,statistical programmer,researchpoint global,austin  tx,assist data mgmt department with the annotation of case report forms and by performing data entry  support the data management department with tasks including   ,,
76,austin,data scientist,indeed,austin  tx,as a data scientist at indeed your role is to follow the data  can fish for data:  have full stack experience in data collection  aggregation  analysis    ,,
77,austin,data scientist,predictive science,austin,this is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the   ,,
78,austin,ultimate hoops statistician,life time fitness,austin  tx,experience tracking statistical data for basketball games  life time is currently seeking a qualified ultimate hoops statistician    ,,
79,austin,scientist iii  bioinformatics,thermo fisher scientific,austin  tx,develop new plug in software modules for analysis of rnaseq data on internal platforms that analyze sequencing data  collect results  and prepare html reports    ,,
80,austin,python instructor  contract ,hello world tech studio,austin  tx,this role is for enthusiastic data scientist and engineers fluent in python that are passionate about teaching 3rd 12th grade students web development    ,,
81,austin,data scientist   business intelligence  sr advisor,dell,round rock  tx,business intelligence or data scientist:  as a senior hadoop data engineer helping with business intelligence and data science projects  you will be responsible   ,,
82,austin,scientist,exponent,austin  tx,providing case management  data processing  writing  and other project support  exponent’s human factors practice is seeking a scientist for our austin  tx   ,,
83,austin,data growth summer intern,upswing,austin  tx,professor stats   working with our data scientist to gather data from the upswing platform and student surveys    ,,
84,austin,data specialist,global animal partnership,austin  tx,global animal partnership data specialist   gap brings together farmers  scientists  ranchers  retailers and animal advocates – a diverse group with the common   ,,
85,austin,data analytic manager,eclerx llc,austin  tx,experience in sas and or r is a definite plus understanding of data manipulation technologies and data platforms  based on either prepackaged etl tools or   ,,
87,austin,senior economist,homeaway,austin  tx,the position requires both building economic models and frameworks  and estimating the core parameters of the model  working in tandem with data scientists and   ,,
88,austin,senior principal software engineer  big data ,the advisory board company,austin  tx,demonstrated understanding of master data management principles  data architecture  data modeling  data governance  and data security    ,,
89,austin,vp of science and operations,genohub,austin  tx,thousands of scientists use our online platform to reliably conduct projects with external labs  high level of familiarity with latest ngs technologies    ,,
90,austin,data architect – london based,zilliant,austin  tx,the successful candidate should be knowledgeable about data modeling  data analysis techniques and data quality  and possess good interpersonal and   ,,
91,austin,research scientist,pearson,austin  tx,  works closely with other research scientists  data analysts  subject\ matter experts  and or clients customers in the construction of test forms and the   ,,
94,austin,database analyst,logic planet it services,austin  tx,data visualization skills  preferably in tableau  refreshing  reporting  visualizing  and improving the processes of various analytics tools created by the   ,,
95,austin,market research analyst,forcepoint,austin  tx,leverage data to inform meaningful insights that drive strategic recommendations and motivate action  forcepoint is seeking a market research analyst to join   ,,
96,austin,lead data science immersive instructor,general assembly,austin  tx,we are looking for a data scientist to teach our brand new full time class:  you are eager to shape the skills  minds  and trajectories of the newest generation   ,,
97,austin,scientist ii  research,asuragen,austin  tx,provides high level data analysis and communicates these results to others  scientists contribute to project based teams within asuragen research to develop and   ,,
98,austin,data scientist   developer,samsung austin semiconductor  llc,austin  tx,data scientist who will perform duties such as:  prepare new data sources for machine learning   implement learnings from the data    ,,
99,seattle,data scientist  on w2 ,tech mahindra,bellevue  wa,data mining  web mining  machine learning  statistics  business intelligence customer intelligence  user modelling  information retrieval  databases  data   ,,
