,city,job_title,company_name,location,summary,salary
90,San+Francisco,"Data Scientist, Senior",Progress,"Redwood City, CA","Good experience with data preparation and data quality. Knowledge of data visualization is a plus. Work with the customer’s data science teams, train and...",Nothing_found
91,Austin,Statistical Programmer,ResearchPoint Global,"Austin, TX 78735",Assist Data Mgmt department with the annotation of case report forms and by performing data entry. Support the Data Management department with tasks including...,Nothing_found
92,Austin,Data Scientist,Indeed,"Austin, TX 78731","As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Have full stack experience in data collection, aggregation, analysis,...",Nothing_found
93,Austin,Data Scientist,Predictive Science,United States,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Nothing_found
94,Austin,Ultimate Hoops Statistician,Life Time Fitness,"Austin, TX",Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....,Nothing_found
95,Austin,"Scientist III, Bioinformatics",Thermo Fisher Scientific,"Austin, TX 73344","Develop new plug-in software modules for analysis of RNAseq data on internal platforms that analyze sequencing data, collect results, and prepare HTML reports....",Nothing_found
96,Austin,Python Instructor (contract),Hello World Tech Studio,"Austin, TX",This role is for enthusiastic data scientist and engineers fluent in Python that are passionate about teaching 3rd-12th grade students web development....,Nothing_found
97,Austin,"Data Scientist / Business Intelligence, Sr Advisor",Dell,"Round Rock, TX 78664","Business Intelligence or Data Scientist:. As a Senior Hadoop data engineer helping with Business intelligence and data science projects, you will be responsible...",Nothing_found
98,Austin,Scientist,Exponent,"Austin, TX","Providing case management, data processing, writing, and other project support. Exponent’s Human Factors Practice is seeking a Scientist for our Austin, TX...",Nothing_found
99,Austin,Data/Growth Summer Intern,Upswing,"Austin, TX",Professor stats - Working with our data scientist to gather data from the Upswing platform and student surveys....,Nothing_found
100,Austin,Data Specialist,Global Animal Partnership,"Austin, TX","Global Animal Partnership Data Specialist*. GAP brings together farmers, scientists, ranchers, retailers and animal advocates – a diverse group with the common...",Nothing_found
101,Austin,Data Analytic Manager,eClerx LLC,"Austin, TX",Experience in SAS and/or R is a definite plus Understanding of data manipulation technologies and data platforms (based on either prepackaged ETL tools or...,Nothing_found
102,Austin,Senior Big Data Spark Engineer,Global Ecommerce Company,"Austin, TX","Big Data Developer:. Working in collaboration with my client's team of backend engineers, data engineers and data scientists you will help to deliver a best-in...",$55 - $100 an hour
103,Austin,Senior Economist,HomeAway,"Austin, TX","The position requires both building economic models and frameworks, and estimating the core parameters of the model, working in tandem with data scientists and...",Nothing_found
104,Austin,Senior Principal Software Engineer (Big Data),The Advisory Board Company,"Austin, TX 78759","Demonstrated understanding of master data management principles, data architecture, data modeling, data governance, and data security....",Nothing_found
105,Austin,Data Specialist,Global Animal Partnership,"Austin, TX","Global Animal Partnership Data Specialist*. GAP brings together farmers, scientists, ranchers, retailers and animal advocates – a diverse group with the common...",Nothing_found
106,Austin,Data Specialist,Global Animal Partnership,"Austin, TX","Global Animal Partnership Data Specialist*. GAP brings together farmers, scientists, ranchers, retailers and animal advocates – a diverse group with the common...",Nothing_found
107,Austin,Senior Principal Software Engineer (Big Data),The Advisory Board Company,"Austin, TX 78759","Demonstrated understanding of master data management principles, data architecture, data modeling, data governance, and data security....",Nothing_found
108,Austin,Data Scientist,Predictive Science,United States,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Nothing_found
109,Austin,VP of Science and Operations,Genohub,"Austin, TX","Thousands of scientists use our online platform to reliably conduct projects with external labs. High level of familiarity with latest NGS technologies,...",Nothing_found
110,Austin,Data Architect – London based,Zilliant,"Austin, TX 78704 (South Lamar-South Congress area)","The successful candidate should be knowledgeable about data modeling, data analysis techniques and data quality, and possess good interpersonal and...",Nothing_found
111,Austin,Research Scientist,Pearson,"Austin, TX","+ Works closely with other research scientists, data analysts, subject\-matter experts, and/or clients/customers in the construction of test forms and the...",Nothing_found
112,Austin,Research Associate - Geodetic Measurements and Estimation Scientist,University of Texas at Austin,"Austin, TX","One or more years experience developing geodetic instrument designs, methods of geodetic data collections, data reduction processes....","$7,083 - $9,166 a month"
113,Austin,Senior Research Scientist (Principal Investigator level),Gibson - An Education Consulting & Research Group,"Austin, TX 78746","Provide statistical consulting to clients regarding the appropriate use of existing data. We are a small research team based in Austin, Texas that is made up of...","$110,000 - $150,000 a year"
114,Austin,Database Analyst,Logic Planet IT Services,"Austin, TX","Data visualization skills, preferably in Tableau. Refreshing, reporting, visualizing, and improving the processes of various analytics tools created by the...",Nothing_found
115,Austin,Market Research Analyst,Forcepoint,"Austin, TX",Leverage data to inform meaningful insights that drive strategic recommendations and motivate action. Forcepoint is seeking a Market Research Analyst to join...,Nothing_found
116,Austin,Lead Data Science Immersive Instructor,General Assembly,"Austin, TX","We are looking for a Data Scientist to teach our brand new full time class:. You are eager to shape the skills, minds, and trajectories of the newest generation...",Nothing_found
117,Austin,"Scientist II, Research",Asuragen,"Austin, TX",Provides high-level data analysis and communicates these results to others. Scientists contribute to project-based teams within Asuragen Research to develop and...,Nothing_found
118,Austin,Data Scientist - Developer,"Samsung Austin Semiconductor, LLC","Austin, TX 78754",Data Scientist who will perform duties such as:. Prepare new data sources for machine learning / Implement learnings from the data....,Nothing_found
119,Austin,Data Scientist,Indeed,"Austin, TX 78731","As a Data Scientist at Indeed your role is to follow the data. Can fish for data:. Have full stack experience in data collection, aggregation, analysis,...",Nothing_found
120,Austin,Statistical Programmer,ResearchPoint Global,"Austin, TX 78735",Assist Data Mgmt department with the annotation of case report forms and by performing data entry. Support the Data Management department with tasks including...,Nothing_found
121,Seattle,Data Scientist (on W2),Tech Mahindra,"Bellevue, WA 98005","Data mining, web mining, machine learning, statistics, business intelligence/customer intelligence, user modelling, information retrieval, databases, data...",Nothing_found
122,Seattle,Data Scientist,KPMG,"Seattle, WA 98104","Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and...",Nothing_found
123,Seattle,"Data Scientist, Natural Language Processing",KPMG,"Seattle, WA 98104","KPMG is currently seeking a Data Scientist to join our Advanced Data Analytics team. Experience with command-line scripting, data structures and algorithms and...",Nothing_found
124,Seattle,Machine Learning Scientist,Context Relevant,"Seattle, WA 98101 (Downtown area)","Big data munger:. At Context Relevant (CR), Machine Learning Scientists develop our core data science platform, building a product that robustly delivers the...",Nothing_found
125,Seattle,Data Analysis Developer,CSI Interfusion Inc,"Redmond, WA",Data Analysis Developer. Experience in data analysis/cleaning (scripting/SQL queries/programming/). 3-5 years of software development experience in data...,Nothing_found
126,Seattle,Machine Learning Hacker,Utrip Inc.,"Seattle, WA",Build needed data transformations on structured and unstructured data. You’ll help in shaping our data roadmap and leading our existing Data Science effort....,Nothing_found
127,Seattle,Scientist I,Allen Institute,"Seattle, WA 98103 (Green Lake - Wallingford area)",Analyze gene expression data and identify candidate genes for tool development. We are seeking a Scientist to be an essential member of the Institute’s...,Nothing_found
128,Seattle,ECOSYSTEMS SERVICES ANALYST,University of Washington,"Seattle, WA","Experience with data management, GIS and basic statistics. Some data management experience and proficiency with a GIS is required....",Nothing_found
129,Seattle,Research Scientist,Seattle Children's Hospital,"Seattle, WA 98101 (Downtown area)","Makes detailed observations, records data and presents results; There is one opening for a Scientist I-III level....",Nothing_found
130,Seattle,Research Scientist -arge-scale machine learning,Intellipro Group Inc.,"Seattle, WA","Ø Be self-driven, and show ability to deliver on ambiguous projects with incomplete data. Ø Show strong passion for & understand the need to deliver right...",Nothing_found
131,Seattle,Research Scientist--Large-scale machine learning,Intellipro Group Inc.,"Seattle, WA","Be self-driven, and show ability to deliver on ambiguous projects with incomplete data. Large-scale machine learning for data analysis plays a critical role in...",Nothing_found
132,Seattle,Principal Data Scientist,Microsoft,"Redmond, WA 98052","Our team is now looking for a talented principle data scientist to lead the development of end to end advanced data analytics and AI solutions using cloud, data...",Nothing_found
133,Seattle,Applied Scientist III,Amazon Corporate LLC,"Seattle, WA","We have the richest, most diverse data of any Internet company. Besides theoretical analysis and innovation, our scientists also work closely with software...",Nothing_found
134,Seattle,Sr. Data Analyst - Machine Learning,FiveBy,"Redmond, WA","Advanced Data Analytics:. 5+ years of experience in advanced data analytics, mathematical modeling, operations research, quantitative analysis or data modelling...","$75,000 - $125,000 a year"
135,Seattle,Data Scientist,Predictive Science,United States,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Nothing_found
136,Seattle,Data Scientist,Predictive Science,United States,This is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the...,Nothing_found
137,Seattle,Sr. Data Analyst - Machine Learning,FiveBy,"Redmond, WA","Advanced Data Analytics:. 5+ years of experience in advanced data analytics, mathematical modeling, operations research, quantitative analysis or data modelling...","$75,000 - $125,000 a year"
138,Seattle,"Data Scientist, Natural Language Processing",KPMG,"Seattle, WA 98104","KPMG is currently seeking a Data Scientist to join our Advanced Data Analytics team. Experience with command-line scripting, data structures and algorithms and...",Nothing_found
